Id,Year,Age dimension,Codes for death causes,Deaths Rounded off,Number of child Deaths,Date,TimeDimensionBegin,TimeDimensionEnd,Country,Sex,Child age,Causes of death
1827049,2015,AGEGROUP_DAYS0-27,CHILDCAUSE_CH18,0.0,0.0,2023-11-20T09:36:55Z,01-01-15,31-12-15,South Sudan,Both sexes,0-27 days,Tuberculosis
1828150,2010,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH3,3881.5,3881.49805,2023-11-20T10:18:34Z,01-01-10,31-12-10,South Sudan,Both sexes,1-59 months,Diarrhoeal diseases
1830064,2017,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH10,402.7,402.70116,2023-11-20T10:10:19Z,01-01-17,31-12-17,Burundi,Both sexes,1-59 months,Prematurity
1830290,2001,AGEGROUP_DAYS0-27,CHILDCAUSE_CH8,0.0,0.0,2023-11-20T09:29:48Z,01-01-01,31-12-01,Kenya,Both sexes,0-27 days,Malaria
356,2021,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH17,6102.1,6102.05582,2023-11-20T10:19:34Z,01-01-21,31-12-21,Ethiopia,Both sexes,1-59 months,Injuries
2798,2010,AGEGROUP_YEARS0-4,CHILDCAUSE_CH18,0.0,0.0,2024-03-25T14:04:48Z,01-01-10,31-12-10,South Sudan,Both sexes,0-4 years of age,Tuberculosis
3019,2009,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH15,686.7,686.70527,2023-11-20T10:12:37Z,01-01-09,31-12-09,Burundi,Both sexes,1-59 months,Congenital anomalies
4017,2015,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH9,160.9,160.86172,2023-11-20T10:05:11Z,01-01-15,31-12-15,Djibouti,Both sexes,1-59 months,Acute lower respiratory infections
4562,2002,AGEGROUP_YEARS0-4,CHILDCAUSE_CH16,4799.012738853503,19714.40221581169,2024-03-25T14:04:48Z,01-01-02,31-12-02,Ethiopia,Both sexes,0-4 years of age,Other noncommunicable diseases (postneonatal only)
6587,2013,AGEGROUP_YEARS0-4,CHILDCAUSE_CH5,21.0,21.32626,2024-03-25T14:04:48Z,01-01-13,31-12-13,Burundi,Both sexes,0-4 years of age,Tetanus
8111,2010,AGEGROUP_YEARS0-4,CHILDCAUSE_CH2,627.0,627.23939,2024-03-25T14:04:48Z,01-01-10,31-12-10,Rwanda,Both sexes,0-4 years of age,HIV/AIDS
8308,2013,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH9,2238.7,2238.65637,2023-11-20T10:16:54Z,01-01-13,31-12-13,Rwanda,Both sexes,1-59 months,Acute lower respiratory infections
11281,2004,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH6,143.3,143.31264,2023-11-20T10:04:38Z,01-01-04,31-12-04,South Sudan,Both sexes,1-59 months,Measles
12944,2014,AGEGROUP_YEARS0-4,CHILDCAUSE_CH8,4799.012738853503,11575.0,2024-03-25T14:04:48Z,01-01-14,31-12-14,Ethiopia,Both sexes,0-4 years of age,Malaria
13400,2006,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH3,224.3,224.2791,2023-11-20T10:07:35Z,01-01-06,31-12-06,Djibouti,Both sexes,1-59 months,Diarrhoeal diseases
13610,2013,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH8,14118.0,14118.0,2023-11-20T10:21:01Z,01-01-13,31-12-13,Ethiopia,Both sexes,1-59 months,Malaria
14355,2007,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH6,8046.8,8046.80872,2023-11-20T10:20:09Z,01-01-07,31-12-07,Ethiopia,Both sexes,1-59 months,Measles
15200,2021,AGEGROUP_MONTHS1-59,CHILDCAUSE_CH6,25748.9,25748.87646,2023-11-20T10:21:33Z,01-01-21,31-12-21,Somalia,Both sexes,1-59 months,Measles
15520,2003,AGEGROUP_DAYS0-27,CHILDCAUSE_CH6,0.0,0.0,2023-11-20T09:39:05Z,01-01-03,31-12-03,Uganda,Both sexes,0-27 days,Measles
15775,2010,AGEGROUP_YEARS0-4,CHILDCAUSE_CH5,5.0,5.03503,2024-03-25T14:04:48Z,01-01-10,31-12-10,Eritrea,Both sexes,0-4 years of age,Tetanus
17561,2002,AGEGROUP_DAYS0-27,CHILDCAUSE_CH7,273.4,273.4079,2023-11-20T10:08:33Z,01-01-02,31-12-02,South Sudan,Both sexes,0-27 days,Meningitis/encephalitis
18480,2007,AGEGROUP_YEARS0-4,CHILDCAUSE_CH5,2001.0,2001.2911,2024-03-25T14:04:48Z,01-01-07,31-12-07,Ethiopia,Both sexes,0-4 years of age,Tetanus
21076,2002,AGEGROUP_YEARS0-4,CHILDCAUSE_CH9,4799.012738853503,82977.49299,2024-03-25T14:04:48Z,01-01-02,31-12-02,Ethiopia,Both sexes,0-4 years of age,Acute lower respiratory infections
