respondent_id,year,district,region,gender,age,urban_rural,parent_education,monthly_household_income_ugx,completed,dropout
R00001,2022,Gulu,Northern,Male,18,Urban,Primary,328682,0,1
R00002,2021,Arua,Northern,Male,16,Rural,University,215492,1,0
R00003,2021,Soroti,Eastern,Female,14,Rural,Secondary,260730,1,0
R00004,2021,Arua,Northern,Male,19,Rural,Secondary,382790,0,1
R00005,2024,Masaka,Central,Male,17,Rural,Primary,661972,1,0
R00006,2021,Arua,Northern,Female,13,Rural,Primary,444897,0,1
R00007,2022,Mbarara,Western,Female,16,Urban,didnot attend school,1205189,0,1
R00008,2024,Arua,Northern,Female,20,Rural,Tertiary,241483,0,1
R00009,2023,Gulu,Northern,Female,14,Urban,Secondary,1915788,1,0
R00010,2024,Kampala,Central,Female,16,Urban,Secondary,74760,1,0
R00011,2023,Gulu,Northern,Female,16,Urban,didnot attend school,331447,0,1
R00012,2021,Soroti,Eastern,Male,13,Rural,University,353940,0,1
R00013,2022,Arua,Northern,Female,16,Rural,Tertiary,2207603,0,1
R00014,2023,Gulu,Northern,Female,19,Urban,Primary,309697,0,1
R00015,2023,Mbarara,Western,Female,12,Urban,Primary,93988,0,1
R00016,2022,Gulu,Northern,Male,17,Urban,Primary,2853832,0,1
R00017,2022,Mbarara,Western,Female,15,Urban,Primary,319712,1,0
R00018,2021,Lira,Northern,Male,19,Rural,Secondary,29009,0,1
R00019,2022,Lira,Northern,Female,20,Rural,Primary,412147,1,0
R00020,2024,Soroti,Eastern,Female,20,Rural,Primary,2045401,0,1
R00021,2022,Jinja,Eastern,Female,20,Urban,Secondary,1912257,1,0
R00022,2024,Arua,Northern,Female,20,Rural,didnot attend school,1217476,0,1
R00023,2022,Soroti,Eastern,Female,19,Rural,Primary,468025,0,1
R00024,2021,Masaka,Central,Female,16,Rural,Primary,879436,1,0
R00025,2024,Gulu,Northern,Male,20,Urban,Primary,1456704,0,1
R00026,2024,Soroti,Eastern,Male,19,Rural,Tertiary,255126,0,1
R00027,2021,Masaka,Central,Female,19,Rural,Primary,38371,0,1
R00028,2023,Gulu,Northern,Female,14,Urban,Secondary,440737,1,0
R00029,2024,Gulu,Northern,Female,18,Urban,Secondary,167983,0,1
R00030,2022,Kampala,Central,Female,14,Urban,didnot attend school,295494,0,1
R00031,2023,Masaka,Central,Male,18,Rural,Secondary,43216,0,1
R00032,2022,Masaka,Central,Male,16,Rural,Primary,121116,0,1
R00033,2024,Masaka,Central,Male,15,Rural,didnot attend school,31829,0,1
R00034,2023,Kampala,Central,Male,13,Urban,University,117628,0,1
R00035,2021,Arua,Northern,Male,20,Rural,University,348030,0,1
R00036,2022,Gulu,Northern,Female,15,Urban,Tertiary,2883463,0,1
R00037,2022,Mbarara,Western,Female,18,Urban,Primary,270372,0,1
R00038,2022,Mbale,Eastern,Female,20,Urban,didnot attend school,387275,0,1
R00039,2023,Mbale,Eastern,Female,20,Urban,Secondary,367634,0,1
R00040,2022,Fort Portal,Western,Female,19,Rural,Primary,176323,0,1
R00041,2022,Gulu,Northern,Female,16,Urban,didnot attend school,1295330,1,0
R00042,2021,Soroti,Eastern,Male,17,Rural,Primary,224343,1,0
R00043,2023,Arua,Northern,Male,19,Rural,didnot attend school,431090,1,0
R00044,2024,Gulu,Northern,Male,15,Urban,University,280668,0,1
R00045,2024,Arua,Northern,Male,18,Rural,Primary,221845,1,0
R00046,2022,Arua,Northern,Female,12,Rural,Secondary,69043,1,0
R00047,2023,Gulu,Northern,Male,13,Urban,Primary,98212,0,1
R00048,2021,Jinja,Eastern,Female,12,Urban,Secondary,446482,0,1
R00049,2023,Gulu,Northern,Male,13,Urban,Secondary,118156,1,0
R00050,2024,Gulu,Northern,Male,18,Urban,Primary,262573,1,0
R00051,2024,Mbarara,Western,Female,19,Urban,University,64034,1,0
R00052,2021,Arua,Northern,Male,15,Rural,Tertiary,78578,0,1
R00053,2022,Kampala,Central,Male,17,Urban,University,256783,0,1
R00054,2022,Mbarara,Western,Female,17,Urban,Tertiary,892239,1,0
R00055,2021,Jinja,Eastern,Male,14,Urban,Secondary,152515,0,1
R00056,2024,Jinja,Eastern,Female,14,Urban,University,319347,0,1
R00057,2024,Mbale,Eastern,Female,15,Urban,didnot attend school,374013,0,1
R00058,2021,Mbarara,Western,Male,18,Urban,Primary,2602471,0,1
R00059,2021,Soroti,Eastern,Male,12,Rural,didnot attend school,481632,0,1
R00060,2022,Kampala,Central,Female,14,Urban,Primary,99107,1,0
R00061,2021,Kampala,Central,Male,20,Urban,Primary,1743976,0,1
R00062,2022,Soroti,Eastern,Male,16,Rural,Primary,2742650,0,1
R00063,2022,Jinja,Eastern,Male,18,Urban,Tertiary,36783,0,1
R00064,2024,Soroti,Eastern,Male,14,Rural,Primary,2166602,0,1
R00065,2022,Soroti,Eastern,Female,17,Rural,Primary,12457,0,1
R00066,2022,Lira,Northern,Male,19,Rural,Secondary,114722,0,1
R00067,2021,Mbale,Eastern,Female,19,Urban,didnot attend school,16026,0,1
R00068,2021,Kampala,Central,Female,13,Urban,Tertiary,479523,1,0
R00069,2022,Gulu,Northern,Male,14,Urban,didnot attend school,378509,0,1
R00070,2023,Lira,Northern,Male,12,Rural,University,282734,1,0
R00071,2023,Mbale,Eastern,Male,15,Urban,Tertiary,241591,0,1
R00072,2023,Soroti,Eastern,Male,12,Rural,Primary,201470,1,0
R00073,2021,Gulu,Northern,Male,14,Urban,didnot attend school,197743,0,1
R00074,2022,Masaka,Central,Male,17,Rural,Tertiary,109507,1,0
R00075,2023,Lira,Northern,Male,17,Rural,Secondary,177300,1,0
R00076,2021,Masaka,Central,Female,12,Rural,Secondary,435255,0,1
R00077,2021,Gulu,Northern,Female,12,Urban,Tertiary,695683,0,1
R00078,2023,Kampala,Central,Female,14,Urban,didnot attend school,2720016,0,1
R00079,2024,Mbarara,Western,Female,12,Urban,Primary,2080810,0,1
R00080,2022,Masaka,Central,Male,17,Rural,didnot attend school,172195,0,1
R00081,2022,Masaka,Central,Male,20,Rural,Tertiary,487342,1,0
R00082,2023,Jinja,Eastern,Male,14,Urban,Secondary,209470,0,1
R00083,2022,Kampala,Central,Female,15,Urban,Primary,391241,0,1
R00084,2024,Gulu,Northern,Female,14,Urban,didnot attend school,477573,0,1
R00085,2022,Soroti,Eastern,Male,20,Rural,Primary,103819,1,0
R00086,2021,Mbarara,Western,Male,19,Urban,Primary,148486,1,0
R00087,2024,Mbarara,Western,Female,17,Urban,Secondary,1054269,1,0
R00088,2021,Arua,Northern,Female,12,Rural,Secondary,315116,0,1
R00089,2022,Jinja,Eastern,Male,20,Urban,Tertiary,248862,0,1
R00090,2022,Arua,Northern,Female,18,Rural,Primary,324916,0,1
R00091,2024,Arua,Northern,Male,13,Rural,didnot attend school,162637,0,1
R00092,2023,Lira,Northern,Female,12,Rural,Secondary,96045,0,1
R00093,2023,Lira,Northern,Female,14,Rural,Tertiary,53184,1,0
R00094,2023,Kampala,Central,Male,18,Urban,Secondary,2802764,1,0
R00095,2024,Mbarara,Western,Female,14,Urban,Tertiary,2195283,0,1
R00096,2021,Lira,Northern,Female,17,Rural,Primary,925115,1,0
R00097,2024,Jinja,Eastern,Male,17,Urban,Secondary,1336520,1,0
R00098,2021,Kampala,Central,Male,19,Urban,Primary,345701,0,1
R00099,2021,Lira,Northern,Female,16,Rural,didnot attend school,1595595,0,1
R00100,2023,Mbale,Eastern,Female,14,Urban,didnot attend school,51484,0,1
R00101,2022,Jinja,Eastern,Female,15,Urban,didnot attend school,149496,0,1
R00102,2022,Jinja,Eastern,Female,16,Urban,Secondary,2972759,0,1
R00103,2021,Soroti,Eastern,Female,18,Rural,Primary,159321,1,0
R00104,2023,Mbale,Eastern,Female,12,Urban,Secondary,182926,0,1
R00105,2022,Fort Portal,Western,Female,17,Rural,University,59604,0,1
R00106,2022,Masaka,Central,Female,18,Rural,Primary,1669479,1,0
R00107,2023,Gulu,Northern,Female,16,Urban,Primary,784735,0,1
R00108,2022,Gulu,Northern,Male,14,Urban,Tertiary,330888,1,0
R00109,2022,Arua,Northern,Male,20,Rural,Primary,2664867,1,0
R00110,2022,Fort Portal,Western,Male,15,Rural,didnot attend school,346941,0,1
R00111,2022,Jinja,Eastern,Female,16,Urban,Primary,2241334,1,0
R00112,2022,Kampala,Central,Male,18,Urban,Primary,2945316,0,1
R00113,2022,Mbarara,Western,Female,17,Urban,University,257367,1,0
R00114,2024,Gulu,Northern,Female,14,Urban,Tertiary,114213,1,0
R00115,2024,Masaka,Central,Female,12,Rural,Secondary,183857,1,0
R00116,2024,Soroti,Eastern,Female,18,Rural,Tertiary,129420,0,1
R00117,2022,Mbarara,Western,Female,15,Urban,Tertiary,490958,0,1
R00118,2023,Mbale,Eastern,Female,12,Urban,Primary,434376,1,0
R00119,2022,Fort Portal,Western,Male,16,Rural,Tertiary,114316,0,1
R00120,2021,Mbale,Eastern,Female,13,Urban,Secondary,107341,0,1
R00121,2022,Mbarara,Western,Male,13,Urban,Tertiary,42844,1,0
R00122,2023,Arua,Northern,Male,13,Rural,Tertiary,401366,1,0
R00123,2022,Masaka,Central,Female,18,Rural,Primary,414072,0,1
R00124,2021,Jinja,Eastern,Female,19,Urban,didnot attend school,2216656,0,1
R00125,2023,Soroti,Eastern,Female,16,Rural,Primary,232976,1,0
R00126,2024,Mbale,Eastern,Female,19,Urban,Primary,480504,0,1
R00127,2023,Masaka,Central,Male,12,Rural,Tertiary,794386,1,0
R00128,2023,Jinja,Eastern,Female,19,Urban,Tertiary,28165,0,1
R00129,2022,Jinja,Eastern,Male,16,Urban,didnot attend school,440698,0,1
R00130,2021,Soroti,Eastern,Male,14,Rural,Secondary,474639,1,0
R00131,2024,Gulu,Northern,Female,12,Urban,Primary,320075,0,1
R00132,2023,Mbarara,Western,Male,14,Urban,Primary,383052,1,0
R00133,2024,Arua,Northern,Female,20,Rural,didnot attend school,419345,0,1
R00134,2021,Mbale,Eastern,Female,15,Urban,Primary,13961,0,1
R00135,2021,Fort Portal,Western,Male,16,Rural,University,322029,0,1
R00136,2021,Lira,Northern,Male,16,Rural,Primary,327016,1,0
R00137,2021,Kampala,Central,Male,18,Urban,Secondary,418103,1,0
R00138,2024,Soroti,Eastern,Male,18,Rural,Secondary,391810,1,0
R00139,2023,Gulu,Northern,Male,16,Urban,Primary,373023,1,0
R00140,2021,Lira,Northern,Male,20,Rural,University,243840,1,0
R00141,2021,Mbarara,Western,Female,12,Urban,University,391341,0,1
R00142,2022,Mbale,Eastern,Female,13,Urban,Primary,274941,0,1
R00143,2023,Gulu,Northern,Male,16,Urban,Primary,377410,1,0
R00144,2021,Soroti,Eastern,Male,17,Rural,Primary,450834,0,1
R00145,2021,Lira,Northern,Female,18,Rural,Primary,415750,1,0
R00146,2024,Masaka,Central,Female,17,Rural,didnot attend school,321195,0,1
R00147,2023,Fort Portal,Western,Male,14,Rural,Secondary,380650,0,1
R00148,2023,Fort Portal,Western,Male,15,Rural,Secondary,361728,0,1
R00149,2023,Soroti,Eastern,Female,20,Rural,didnot attend school,387321,0,1
R00150,2021,Lira,Northern,Male,20,Rural,Primary,490419,0,1
R00151,2024,Mbale,Eastern,Female,12,Urban,University,56678,1,0
R00152,2024,Soroti,Eastern,Female,16,Rural,Primary,396755,0,1
R00153,2023,Lira,Northern,Male,16,Rural,didnot attend school,497628,0,1
R00154,2023,Mbale,Eastern,Female,20,Urban,Primary,95430,0,1
R00155,2022,Masaka,Central,Male,12,Rural,University,21682,1,0
R00156,2024,Gulu,Northern,Male,20,Urban,Primary,92321,1,0
R00157,2024,Masaka,Central,Male,19,Rural,Secondary,1159953,1,0
R00158,2022,Fort Portal,Western,Male,15,Rural,Tertiary,401469,0,1
R00159,2023,Jinja,Eastern,Male,13,Urban,Primary,394768,0,1
R00160,2023,Fort Portal,Western,Female,17,Rural,Secondary,101706,0,1
R00161,2023,Lira,Northern,Female,20,Rural,Primary,231177,0,1
R00162,2023,Arua,Northern,Male,14,Rural,Secondary,348319,1,0
R00163,2024,Gulu,Northern,Male,13,Urban,Secondary,105339,1,0
R00164,2022,Mbale,Eastern,Female,19,Urban,Secondary,55316,0,1
R00165,2023,Mbale,Eastern,Male,16,Urban,didnot attend school,1685460,0,1
R00166,2021,Kampala,Central,Male,12,Urban,Tertiary,2231904,1,0
R00167,2022,Masaka,Central,Female,20,Rural,Primary,383579,1,0
R00168,2023,Fort Portal,Western,Male,12,Rural,Primary,225300,0,1
R00169,2022,Fort Portal,Western,Female,18,Rural,didnot attend school,86653,0,1
R00170,2024,Kampala,Central,Female,17,Urban,Secondary,53024,1,0
R00171,2021,Gulu,Northern,Male,18,Urban,Secondary,351399,1,0
R00172,2023,Soroti,Eastern,Male,12,Rural,didnot attend school,28691,0,1
R00173,2024,Gulu,Northern,Male,15,Urban,Secondary,145832,0,1
R00174,2024,Soroti,Eastern,Male,19,Rural,Primary,160630,1,0
R00175,2024,Fort Portal,Western,Female,13,Rural,Secondary,465218,0,1
R00176,2021,Mbale,Eastern,Male,12,Urban,Primary,1896522,0,1
R00177,2021,Arua,Northern,Male,16,Rural,Secondary,1405623,1,0
R00178,2021,Mbarara,Western,Male,16,Urban,Primary,16040,0,1
R00179,2024,Mbarara,Western,Male,13,Urban,University,461904,1,0
R00180,2023,Mbale,Eastern,Male,13,Urban,didnot attend school,269193,0,1
R00181,2023,Fort Portal,Western,Male,14,Rural,Primary,137649,0,1
R00182,2022,Soroti,Eastern,Male,19,Rural,didnot attend school,942298,1,0
R00183,2021,Mbarara,Western,Female,18,Urban,University,203380,0,1
R00184,2023,Kampala,Central,Male,19,Urban,Tertiary,29054,0,1
R00185,2023,Fort Portal,Western,Male,12,Rural,Primary,912210,1,0
R00186,2024,Jinja,Eastern,Female,16,Urban,Secondary,169650,0,1
R00187,2024,Fort Portal,Western,Male,14,Rural,Tertiary,50565,1,0
R00188,2022,Lira,Northern,Female,17,Rural,Secondary,403053,0,1
R00189,2023,Soroti,Eastern,Male,15,Rural,Secondary,162244,0,1
R00190,2022,Soroti,Eastern,Male,14,Rural,Primary,221345,1,0
R00191,2022,Fort Portal,Western,Female,13,Rural,didnot attend school,450363,0,1
R00192,2024,Soroti,Eastern,Female,13,Rural,Tertiary,2892161,1,0
R00193,2023,Gulu,Northern,Female,17,Urban,University,195822,1,0
R00194,2023,Lira,Northern,Male,20,Rural,Secondary,57184,0,1
R00195,2024,Jinja,Eastern,Female,20,Urban,Primary,483086,0,1
R00196,2023,Masaka,Central,Male,12,Rural,Primary,136809,1,0
R00197,2024,Mbale,Eastern,Female,12,Urban,Secondary,429148,1,0
R00198,2024,Masaka,Central,Male,19,Rural,Tertiary,269987,0,1
R00199,2023,Jinja,Eastern,Male,18,Urban,Tertiary,403400,0,1
R00200,2021,Soroti,Eastern,Female,19,Rural,Tertiary,68115,0,1
R00201,2023,Arua,Northern,Female,14,Rural,Secondary,166082,0,1
R00202,2022,Fort Portal,Western,Female,13,Rural,didnot attend school,455899,0,1
R00203,2024,Mbarara,Western,Female,14,Urban,Primary,344920,0,1
R00204,2021,Gulu,Northern,Male,18,Urban,Tertiary,300596,1,0
R00205,2022,Fort Portal,Western,Male,18,Rural,Secondary,299076,1,0
R00206,2023,Fort Portal,Western,Female,15,Rural,didnot attend school,2367234,0,1
R00207,2022,Jinja,Eastern,Female,14,Urban,didnot attend school,1020110,0,1
R00208,2022,Fort Portal,Western,Male,17,Rural,Secondary,294278,1,0
R00209,2024,Gulu,Northern,Female,19,Urban,didnot attend school,218962,1,0
R00210,2023,Lira,Northern,Female,16,Rural,Primary,239362,0,1
R00211,2024,Mbale,Eastern,Female,13,Urban,Secondary,1352712,1,0
R00212,2024,Masaka,Central,Female,20,Rural,Secondary,339519,0,1
R00213,2022,Fort Portal,Western,Female,17,Rural,Secondary,199364,0,1
R00214,2024,Soroti,Eastern,Female,19,Rural,Primary,323278,0,1
R00215,2024,Kampala,Central,Female,18,Urban,Secondary,245900,1,0
R00216,2021,Jinja,Eastern,Male,17,Urban,Primary,42711,0,1
R00217,2024,Mbarara,Western,Female,19,Urban,Primary,240248,0,1
R00218,2022,Gulu,Northern,Female,19,Urban,Secondary,189084,0,1
R00219,2023,Jinja,Eastern,Male,16,Urban,Secondary,58275,1,0
R00220,2023,Lira,Northern,Female,12,Rural,Tertiary,42287,0,1
R00221,2024,Masaka,Central,Female,12,Rural,Secondary,306483,0,1
R00222,2022,Masaka,Central,Male,15,Rural,Secondary,31836,0,1
R00223,2024,Mbale,Eastern,Male,14,Urban,didnot attend school,486712,0,1
R00224,2023,Gulu,Northern,Male,18,Urban,Primary,121319,1,0
R00225,2021,Kampala,Central,Male,13,Urban,Primary,308559,1,0
R00226,2022,Mbale,Eastern,Female,16,Urban,Primary,325573,1,0
R00227,2022,Arua,Northern,Female,20,Rural,University,199214,0,1
R00228,2024,Mbarara,Western,Male,12,Urban,Primary,187743,1,0
R00229,2022,Soroti,Eastern,Male,13,Rural,Tertiary,205339,1,0
R00230,2024,Arua,Northern,Female,14,Rural,Secondary,1088257,1,0
R00231,2024,Mbale,Eastern,Male,19,Urban,Tertiary,335065,0,1
R00232,2023,Mbale,Eastern,Male,14,Urban,Secondary,159097,0,1
R00233,2024,Soroti,Eastern,Female,16,Rural,Secondary,271777,1,0
R00234,2022,Mbale,Eastern,Female,20,Urban,Primary,205364,0,1
R00235,2024,Jinja,Eastern,Female,20,Urban,Primary,308430,0,1
R00236,2023,Soroti,Eastern,Female,14,Rural,Secondary,121796,1,0
R00237,2021,Kampala,Central,Female,12,Urban,Primary,201058,0,1
R00238,2023,Soroti,Eastern,Female,12,Rural,didnot attend school,361736,1,0
R00239,2022,Arua,Northern,Female,13,Rural,Secondary,459508,1,0
R00240,2022,Soroti,Eastern,Female,14,Rural,Primary,1897979,1,0
R00241,2024,Gulu,Northern,Male,14,Urban,University,498972,1,0
R00242,2021,Kampala,Central,Female,12,Urban,University,470257,1,0
R00243,2022,Mbale,Eastern,Female,18,Urban,University,2897008,0,1
R00244,2023,Arua,Northern,Male,12,Rural,Primary,1240429,1,0
